Año;Nro_Mes;Mes;Cuenta_de_Ingreso;Importe_Original;Importe_Numerico;Porcentaje_Original;Porcentaje_Numerico
2025;04;Abril;"MOSTRADOR";"6.524.332,94";6524332.94;"11.21%";0.1121
2025;04;Abril;"INSTAGRAM";"2.277.974,49";2277974.49;"3.91%";0.0391
2025;04;Abril;"WHATSAPP";"1.689.225,59";1689225.59;"2.9%";0.028999999999999998
2025;04;Abril;"S/D";"58.500,00";58500;"0.1%";0.001
2025;05;Mayo;"MERCADO LIBRE";"52.478.867,23";52478867.23;"73.1%";0.731
2025;05;Mayo;"MAYORISTA";"7.796.266,20";7796266.2;"10.86%";0.10859999999999999
2025;05;Mayo;"MOSTRADOR";"6.281.465,23";6281465.23;"8.75%";0.0875
2025;05;Mayo;"INSTAGRAM";"3.309.047,82";3309047.82;"4.61%";0.0461
2025;05;Mayo;"S/D";"1.318.260,00";1318260;"1.84%";0.0184
2025;05;Mayo;"WHATSAPP";"608.954,54";608954.54;"0.85%";0.0085
2025;06;Junio;"MERCADO LIBRE";"47.271.586,27";47271586.27;"72.15%";0.7215
2025;06;Junio;"MAYORISTA";"8.590.856,00";8590856;"13.11%";0.1311
2025;06;Junio;"MOSTRADOR";"4.969.776,52";4969776.52;"7.58%";0.0758
2025;06;Junio;"INSTAGRAM";"4.169.262,55";4169262.55;"6.36%";0.0636
2025;06;Junio;"WHATSAPP";"521.467,77";521467.77;"0.8%";0.008
2025;07;Julio;"MERCADO LIBRE";"45.274.619,50";45274619.5;"73.11%";0.7311
2025;07;Julio;"MAYORISTA";"6.773.169,03";6773169.03;"10.94%";0.1094
2025;07;Julio;"INSTAGRAM";"5.107.238,94";5107238.94;"8.25%";0.0825
2025;07;Julio;"MOSTRADOR";"3.972.749,34";3972749.34;"6.42%";0.0642
2025;07;Julio;"WHATSAPP";"801.014,08";801014.08;"1.29%";0.0129
2025;08;Agosto;"MERCADO LIBRE";"52.057.140,99";52057140.99;"73.88%";0.7387999999999999
2025;08;Agosto;"MAYORISTA";"10.455.334,00";10455334;"14.84%";0.1484
2025;08;Agosto;"INSTAGRAM";"5.697.069,15";5697069.15;"8.09%";0.0809
2025;08;Agosto;"MOSTRADOR";"2.054.096,42";2054096.42;"2.92%";0.0292
2025;08;Agosto;"S/D";"143.000,00";143000;"0.2%";0.002
2025;08;Agosto;"WHATSAPP";"53.500,00";53500;"0.08%";0.0008
2025;09;Septiembre;"MERCADO LIBRE";"43.302.592,05";43302592.05;"70.14%";0.7014
2025;09;Septiembre;"MAYORISTA";"10.429.310,00";10429310;"16.89%";0.1689
2025;09;Septiembre;"INSTAGRAM";"6.259.740,37";6259740.37;"10.14%";0.1014
2025;09;Septiembre;"MOSTRADOR";"1.746.490,42";1746490.42;"2.83%";0.028300000000000002
2025;10;Octubre;"MERCADO LIBRE";"50.286.268,96";50286268.96;"75.72%";0.7572
2025;10;Octubre;"MAYORISTA";"7.295.806,40";7295806.4;"10.99%";0.1099
2025;10;Octubre;"INSTAGRAM";"7.165.510,35";7165510.35;"10.79%";0.1079
2025;10;Octubre;"MOSTRADOR";"1.556.942,49";1556942.49;"2.34%";0.023399999999999997
2025;10;Octubre;"MAYORISTA COSTO";"109.654,45";109654.45;"0.17%";0.0017000000000000001
2025;11;Noviembre;"MERCADO LIBRE";"50.692.210,91";50692210.91;"76.33%";0.7633
2025;11;Noviembre;"MAYORISTA";"7.414.117,00";7414117;"11.16%";0.1116
2025;11;Noviembre;"INSTAGRAM";"7.010.371,64";7010371.64;"10.56%";0.1056
2025;11;Noviembre;"MOSTRADOR";"1.114.666,00";1114666;"1.68%";0.0168
2025;11;Noviembre;"S/D";"180.000,00";180000;"0.27%";0.0027
2025;12;Diciembre;"MERCADO LIBRE";"54.345.995,02";54345995.02;"79.25%";0.7925
2025;12;Diciembre;"INSTAGRAM";"6.910.712,21";6910712.21;"10.08%";0.1008
2025;12;Diciembre;"MAYORISTA";"6.259.270,00";6259270;"9.13%";0.0913
2025;12;Diciembre;"MOSTRADOR";"1.060.200,00";1060200;"1.55%";0.0155
2026;1;Enero;"MERCADO LIBRE";"66.085.684,25";66085684.25;"79.85%";0.7985
2026;1;Enero;"MAYORISTA";"6.652.919,00";6652919;"8.04%";0.08039999999999999
2026;1;Enero;"INSTAGRAM";"6.302.381,21";6302381.21;"7.61%";0.0761
2026;1;Enero;"MAYORISTA COSTO";"2.975.887,06";2975887.06;"3.6%";0.036000000000000004
2026;1;Enero;"MOSTRADOR";"746.389,00";746389;"0.9%";0.009000000000000001
2026;2;Febrero;"MERCADO LIBRE";"44.899.458,49";44899458.49;"67.99%";0.6799
2026;2;Febrero;"INSTAGRAM";"8.137.397,49";8137397.49;"12.32%";0.1232
2026;2;Febrero;"MOSTRADOR";"8.070.830,19";8070830.19;"12.22%";0.1222
2026;2;Febrero;"MAYORISTA";"4.242.645,00";4242645;"6.42%";0.0642
2026;2;Febrero;"MAYORISTA COSTO";"685.461,68";685461.68;"1.04%";0.0104
2026;3;Marzo;"MERCADO LIBRE";"64.094.203,32";64094203.32;"68.95%";0.6895
2026;3;Marzo;"MOSTRADOR";"14.439.003,31";14439003.31;"15.53%";0.1553
2026;3;Marzo;"MAYORISTA";"8.132.360,00";8132360;"8.75%";0.0875
2026;3;Marzo;"INSTAGRAM";"6.286.131,55";6286131.55;"6.76%";0.0676
2026;4;Abril;"MERCADO LIBRE";"48.267.985,18";48267985.18;"61.81%";0.6181
2026;4;Abril;"MOSTRADOR";"13.581.461,51";13581461.51;"17.39%";0.1739
2026;4;Abril;"MAYORISTA";"8.938.464,00";8938464;"11.45%";0.11449999999999999
2026;4;Abril;"INSTAGRAM";"7.301.174,45";7301174.45;"9.35%";0.0935
2026;5;Mayo;"MERCADO LIBRE";"-617.131,21";-617131.21;"100%";1
